record_id,date,time_cst,context,tags,summary_ja,summary_zh,evidence_note
"R001","2026-06-22","11:50","Rafayel context","#恋与深空 第六个男主#","第6男主話題の上がり方について、運営側の話題づくりではないかと疑う。","对第六男主话题的升温方式提出质疑，怀疑存在官方造势。","individual paraphrase"
"R002","2026-06-22","12:07","Rafayel context","#恋与深空 第六个男主# | #祁煜 恋与深空救世主#","新男主より自推の価値を再前景化し、祁煜を作品の重要な牽引役として強調。","把讨论从新男主拉回自推，强调祁煜对作品的重要支撑作用。","individual paraphrase"
"R003","2026-06-22","12:12","Xavier context","#恋与深空 第六个男主#","沈星回の看板性・集客力を強調し、新男主より既存キャラの価値を前景化。","强调沈星回的核心地位与拉新能力，把既有角色价值置于新男主之前。","individual paraphrase"
"R004","2026-06-22","12:19","Rafayel context","#恋与深空 第六个男主#","第6男主を作る制作余力があるなら、祁煜のカード品質や既存コンテンツを先に改善してほしいと要求。","认为若有产能制作第六男主，应先改善祁煜卡面与既有内容。","individual paraphrase"
"R005","2026-06-22","12:30","Rafayel context","#恋与深空 第六个男主#","新男主には関心がなく、自推の次のカードを待つと述べる。","表示对新男主没有兴趣，只等待自推的新卡。","individual paraphrase"
"R006","2026-06-22","12:38","Zayne context","#恋与深空 第六个男主#","第6男主論争より黎深への支持を優先する姿勢を示す。","相比第六男主争议，更强调对黎深本人的持续支持。","individual paraphrase"
"R007","2026-06-22","16:05","Rafayel context","#恋与深空 第六个男主#","男主追加による将来の巨大混池と、自推の入手機会の希釈を懸念。","担心新增男主会使未来混池更大、稀释抽取自推的机会。","individual paraphrase"
"R008","2026-06-22","19:52","existing-LI supporter","—","既存男主推しのプレイヤーが新男主を好意的に評価し、追加を歓迎。","既有男主推对新男主作正面评价并表示欢迎。","counterexample"
"R009","2026-06-22","21:18","Zayne context","—","黎深最推しを明示しつつ容姿攻撃には距離を置き、将来の巨大混池を主な懸念として提示。","明确以黎深为主推，同时不赞同外貌攻击，主要担忧未来超大型混池。","individual paraphrase"
"R010","2026-06-22","21:56","existing-LI supporter","#恋与深空敖尹公开#","既存男主推しでありながら敖尹追加を歓迎。","已有主推角色，但明确欢迎敖尹加入。","counterexample"
"R011","2026-06-22","22:56","Caleb context","—","新男主への評価と、夏以昼が受けるべき待遇への要求を別問題として切り分ける。","把对新男主的态度与夏以昼应得到的待遇拆成两个问题。","individual paraphrase"
