entry_id,date,time_band,context,tag_or_term,paraphrased_post,role,evidence_note
P001,2026-06-06 to 2026-06-16,pre-announcement,Zayne fandom,"OOC / main story / spending pause","Posts were already arguing for the independence of Zayne's color, setting and character motifs, criticizing OOC treatment and main-story stagnation, and discussing pauses in spending.",pre-existing grievance,"Reconstructed from public-source set; aggregated across multiple posts"
P002,2026-06-06 to 2026-06-13,pre-announcement,Rafayel fandom,"晨昏 / motif ownership","Posts raised concerns that a recurring motif associated with Rafayel was being reused or diluted, before Valko's announcement.",pre-existing grievance,"Reconstructed from public-source set; aggregated across multiple posts"
P003,2026-06-22,morning,Xavier fandom,"character status / promotion resources","Posts emphasized Xavier's flagship status and contribution to attracting players, then connected the sixth-LI debate to concerns about promotional position and use of existing characters to promote a newcomer.",character-specific framing,"Anonymized paraphrase"
P004,2026-06-22,daytime,Zayne fandom,"mixed pool / existing-character rights","A post opposed appearance-based insults while worrying about future large mixed banners and argued that unresolved Zayne-specific issues should remain the priority.",qualified opposition,"Anonymized paraphrase"
P005,2026-06-22,morning,Rafayel fandom,"card quality / schedule / 产能","Posts focused more on Rafayel's card quality and scheduling than on the newcomer's appearance, asking why production capacity existed for a sixth LI while existing content remained delayed.",resource-allocation framing,"Aggregated paraphrase"
P006,2026-06-22,daytime,Sylus fandom,"foreshadowing / 空降","Posts distinguished Sylus from Valko by stressing that Sylus had official foreshadowing before implementation, while also discussing women's consumer agency and fandom autonomy.",comparative framing,"Aggregated paraphrase"
P007,2026-06-22,daytime,Caleb fandom,"main story / 产能","Posts explicitly separated dislike of the new LI from Caleb-specific demands, arguing that production capacity should address long-stalled story and missing character-specific content.",resource-allocation framing,"Aggregated paraphrase"
P008,2026-06-22,evening,Existing-LI fan,"welcome / new player","A player who primarily supported an existing LI welcomed Valko and expressed interest in joining or continuing the game because of the new character.",counterexample,"Anonymized paraphrase"
P009,2026-06-23 to 2026-06-24,daytime,Rafayel fandom,"停氪","Different posts proposed different spending tactics: a full boycott, a temporary pause, skipping only the new-LI pool, or continuing to spend on one's favorite character.",strategy divergence,"Aggregated across multiple posts"
P010,2026-06-23 to 2026-06-24,daytime,Zayne fandom,"joint action vs character-specific demands","Posts distinguished cross-fandom mobilization from Zayne-specific rights claims rather than treating them as the same campaign.",coalition boundary,"Aggregated paraphrase"
P011,2026-06-25 to 2026-06-27,daytime,multiple contexts,"女性主体性 / localization / trust","Discussion expanded beyond the sixth LI into women's consumer agency, localization and domestic-cultural concerns, production allocation and long-term distrust of the operator.",frame expansion,"Aggregated across multiple posts"
P012,2026-06-28,after official response,mixed fandoms,"implementation maintained","After the official long-form response kept Valko's implementation plan, some posts escalated boycott and accountability demands while others welcomed the decision not to remove him.",divergent response,"Official statement plus anonymized fan reactions"
P013,2026-06-28,daytime,anti-company supertopic,"#恨与浅地#","A participant posting directly in the pre-existing anti-company supertopic described arriving there after quitting the game, showing that the space pre-dated the Valko controversy but could receive new participants during it.",community crossover,"Anonymized paraphrase; tag retained because it is a public community label"
P014,2026-06-29,12:30-13:00,external-facing mobilization,"女性安全 / public institutions","Before A-0731 became dominant, a post was already tagging women's media and public-safety related accounts, showing that an external-mobilization pathway existed beforehand.",pre-existing mobilization,"Time generalized to reduce re-identification risk"
P015,2026-06-29,12:30-13:00,related-post trace,"sensitive number","An early recovered trace referred to a 'sensitive number'; the exact number depended on an attached image that was not independently recovered in the same evidence layer.",early problem identification,"Lower-confidence evidence; image-dependent"
P016,2026-06-29,13:00-13:30,Sylus supertopic context,"A-0731","A post explicitly identified the in-game trial record as 'A-0731'. This is the earliest directly recovered explicit reference in the audited set, not proof of the absolute first discovery on Weibo.",explicit identification,"Direct public-page verification; account removed from public output"
P017,2026-06-29,13:00-13:30,unspecified fandom context,"historical trauma","A separate post interpreted the number through the frame of national historical trauma and criticized its use in entertainment.",reframing,"Directly recovered; paraphrased"
P018,2026-06-29,13:30-14:00,Sylus supertopic context,"media tagging","Another post tagged major media and public organizations and asked for scrutiny, converting the issue into an external-facing appeal.",external mobilization,"Directly recovered; paraphrased"
P019,2026-06-29,14:00-14:30,mixed context,"女性安全 + A-0731","A post linked women's-safety concerns and the A-0731 issue into a broader claim about company values and responsibility.",frame integration,"Directly recovered; paraphrased"
P020,2026-06-29,14:30-15:00,mixed context,"additional associations","Posts began adding claims about people, backgrounds and other symbolic associations. The fact that these claims were posted was verified; their causal or intentional connections were not established.",speculative expansion,"Unverified causal claims clearly separated from verified posting activity"
P021,2026-06-29,14:30-15:00,multiple fandom contexts,"A-0731 amplification","High-visibility posts relayed the issue and added concrete demands. The accounts involved were amplifiers in the recovered sequence rather than demonstrated originators.",amplification,"Aggregated paraphrase"
P022,2026-06-29,15:00-16:00,Xavier fandom context,"internal criticism","Posts warned against turning national historical trauma into ordinary fandom conflict and criticized using the issue as a weapon in character-fandom disputes.",internal brake,"Aggregated paraphrase"
P023,2026-06-29,16:30-17:00,anti-company supertopic,"#恨与浅地# + A-0731","A directly identified participant in the pre-existing anti-company community connected that space to the A-0731 controversy only after the earlier identification, reframing and amplification stages already visible in the recovered sequence.",network crossover,"Time generalized; account removed"
P024,2026-06-29,evening,official company statement,"A-0731","The company described A-0731 as a random placeholder in a fictional setting, announced that it would be changed, removed or revised other disputed material, and denied several circulating interpretations.",official response,"Official account; public statement"
P025,2026-06-30,20:00,official company statement,"cancellation","The company cancelled Valko's implementation and development and stated that no additional male lead would be introduced.",official decision,"Official account; public statement"
P026,2026-06-30,20:00-20:30,Sylus / Caleb / Zayne fandom contexts,"OOC / main story / character-specific resources","Within minutes of cancellation, posts returned to separate character-specific demands: Sylus OOC and individualized design, Caleb story and missing content, and Zayne story, setting and reward concerns.",rapid fragmentation,"Aggregated paraphrase; times generalized"
P027,2026-06-30,20:00-20:30,anti-company context,"not only about the sixth LI","Posts argued that cancellation did not resolve A-0731, women's-safety concerns or broader distrust, and said they would continue rights-based action or would not return to the game.",continued opposition,"Anonymized paraphrase"
P028,2026-06-30,20:00-20:30,Valko-supportive context,"正常上线 / restore Valko","Other posts opposed the cancellation and explicitly called for Valko to be released normally or restored, while some described having downloaded or spent because of him and expressed loss after the decision.",restoration demand,"Aggregated paraphrase; distinguishes explicit restoration calls from grief-only posts"
P029,2026-06-30,22:30-23:00,external / mixed contexts,"first-stage success / unresolved issues","One post described cancellation as a first-stage success, while another listed multiple unresolved issues including A-0731, OOC, women's safety, production capacity and missing content.",post-cancellation divergence,"Aggregated paraphrase"
